#Symbol	ID	Name	Occur	Paper	MatchStr	PMID
NKRF	19374	NFKB repressing factor	1	1	transcription factor nrf | 	17191135,
NLRP3	16400	NLR family, pyrin domain containing 3	1	1	AVP | 	17191135,
NPAT	7896	nuclear protein, ataxia-telangiectasia locus	1	1	e14 | 	16046141,
NR5A1	7983	nuclear receptor subfamily 5, group A, member 1	1	1	sf 1 | 	17174478,
P4HB	8548	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide	1	1	protein disulfide isomerase | 	17678953,
PARK2	8607	Parkinson disease (autosomal recessive, juvenile) 2, parkin	1	1	e3 ubiquitin ligase | 	17678953,
PIN1	8988	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	1	1	prolyl isomerase | 	10077670,
PLCG1	9065	phospholipase C, gamma 1	1	1	PLC | 	10643818,
PMS2	9122	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1	1	dna mismatch repair | 	17174478,
POLD1	9175	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	1	1	cdc2 | 	17496232,
POMC	9201	proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)	1	1	ACTH | 	17191135,
PPP2R4	9308	protein phosphatase 2A activator, regulatory subunit 4	1	1	protein phosphatase 2a | 	17956327,
PRDX3	9354	peroxiredoxin 3	1	1	thioredoxin dependent peroxide reductase | 	14648077,
PRKACA	9380	protein kinase, cAMP-dependent, catalytic, alpha	1	1	protein kinase a catalytic subunit | 	10077670,
PRKAR1A	9388	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	1	1	camp dependent protein kinase | 	10077670,
PRPF3	17348	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	1	1	RP18 | 	16188953,
PRPH	9461	peripherin	1	1	peripherin | 	14739060,
PSMD9	9567	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	1	1	p27 | 	17496232,
PTEN	9588	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1	1	PTEN-induced | 	16227974,
PTPN3	9655	protein tyrosine phosphatase, non-receptor type 3	1	1	tyrosine phosphatase | 	10742195,
PXMP3	9717	peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)	1	1	paf1 | 	16046141,
QDPR	9752	quinoid dihydropteridine reductase	1	1	dihydropteridine reductase | 	15031734,
RECQL	9948	RecQ protein-like (DNA helicase Q1-like)	1	1	RecQ1 | 	17174478,
RECQL5	9950	RecQ protein-like 5	1	1	RecQ5 | 	17174478,
RPA1	10289	replication protein A1, 70kDa	1	1	RPA | 	17174478,
SETX	445	senataxin	1	1	SETX | 	17174478,
SFRS1	10780	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	1	1	SF2 | 	17174478,
SIGLEC7	10876	sialic acid binding Ig-like lectin 7	1	1	p75 | 	16046141,
SIL1	24624	SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)	1	1	BAP | 	12893007,
SLC22A1	10963	solute carrier family 22 (organic cation transporter), member 1	1	1	Oct-1 | 	17191135,
SLC39A3	17128	solute carrier family 39 (zinc transporter), member 3	1	1	zinc transporter | 	15031734,
SP1	11205	Sp1 transcription factor	1	1	SP1 | 	17191135,
SPHK1	11240	sphingosine kinase 1	1	1	sphingosine kinase 1 | 	18422522,
SRC	11283	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	1	1	Src-homology-2-containing | 	16227974,
SRFBP1	26333	serum response factor binding protein 1	1	1	p49 | 	10643818,
TAC1	11517	tachykinin, precursor 1	1	1	substance p | 	15863242,
TBXAS1	11609	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	1	1	cytochrome p450 | 	17174478,
TENC1	19737	tensin like C1 domain containing phosphatase (tensin 2)	1	1	putative protein tyrosine phosphatase | 	11679167,
TERF2	11729	telomeric repeat binding factor 2	1	1	TRF2 | 	17174478,
TFRC	11763	transferrin receptor (p90, CD71)	1	1	transferrin receptor | 	12909279,
TICAM2	21354	toll-like receptor adaptor molecule 2	1	1	cytoplasmic adaptor | 	17105868,
TPO	12015	thyroid peroxidase	1	1	mTpx | 	11679167,
TRNAR1	12343	transfer RNA arginine 1 (anticodon UCU)	1	1	TRR1 | 	11679167,
TRPV1	12716	transient receptor potential cation channel, subfamily V, member 1	1	1	vanilloid receptor subtype 1 | 	15964487,
TTR	12405	transthyretin (prealbumin, amyloidosis type I)	1	1	transthyretin | 	12663085,
TUBA3C	12408	tubulin, alpha 3c	1	1	tubulin alpha 2 | 	15863242,
TUBB	20778	tubulin, beta	1	1	tubulin beta polypeptide | 	15863242,
TUFM	12420	Tu translation elongation factor, mitochondrial	1	1	P43 | 	15863242,
UBASH3B	29884	ubiquitin associated and SH3 domain containing, B	1	1	p70 | 	17496232,
UBE2J1	17598	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	1	1	ubiquitin conjugating enzyme e2 | 	15863242,
UCP1	12517	uncoupling protein 1 (mitochondrial, proton carrier)	1	1	UCPs | 	16624679,
UQCR	30862	ubiquinol-cytochrome c reductase, 6.4kDa subunit	1	1	ubiquinol cytochrome c reductase | 	11050436,
VAMP1	12642	vesicle-associated membrane protein 1 (synaptobrevin 1)	1	1	synaptobrevin 1 | 	11562447,
VAPB	12649	VAMP (vesicle-associated membrane protein)-associated protein B and C	1	1	VAPB | 	17174478,
WNT2	12780	wingless-type MMTV integration site family member 2	1	1	IRP-regulated | 	12909279,
XIAP	592	X-linked inhibitor of apoptosis	1	1	XIAP | 	17105868,
