#Symbol	HUGOID	Name	#Occur	#Paper	MatchString	PMIDs
MAFK	6782	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	3	2	nuclear factor erythroid 2 | 	17191135,17634371,
MAPK1	6871	mitogen-activated protein kinase 1	2	1	mitogen activated protein kinase 1 | 	15031734,
MAPK14	6876	mitogen-activated protein kinase 14	2	2	p38 mitogen activated protein kinase | 	12614931,18349520,
MAPK6	6879	mitogen-activated protein kinase 6	3	2	extracellular signal regulated kinase | 	16194581,17956327,
MAPK9	6886	mitogen-activated protein kinase 9	1	1	jun kinase | 	15896810,
MAPT	6893	microtubule-associated protein tau	8	5	microtubule associated protein tau | tau protein | 	11978481,12893007,14648077,14739060,17191135,
MB	6915	myoglobin	1	1	myoglobin | 	17496232,
MPG	7211	N-methylpurine-DNA glycosylase	3	1	n methylpurine dna glycosylase | n methylpurine dna glycosylase mpg | 	9172131,
MPHOSPH1	7212	M-phase phosphoprotein 1	1	1	mpp 1 | 	15031734,
MT-CO1	7419	mitochondrially encoded cytochrome c oxidase I	1	1	cytochrome c oxidase subunit i | 	17099894,
MT-CYB	7427	mitochondrially encoded cytochrome b	6	1	cytochrome b | 	11050436,
MYH7	7577	myosin, heavy chain 7, cardiac muscle, beta	1	1	myosin heavy chain | 	16877542,
NCF2	7661	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	6	2	p67 phox | chronic granulomatous disease | 	16877542,18219386,
NDUFA5	7688	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	1	1	ubiquinone reductase | 	12901835,
NDUFS4	7711	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	2	2	mitochondrial respiratory chain complex i | 	15964487,16050975,
NEFL	7739	neurofilament, light polypeptide 68kDa	1	1	nf l | 	12663085,
NEFM	7734	neurofilament, medium polypeptide 150kDa	1	1	nf m | 	12663085,
NFE2L2	7782	nuclear factor (erythroid-derived 2)-like 2	2	1	nf e2 | 	17191135,
NFKB1	7794	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	14	3	nf kappa b | nuclear factor kappa b | 	11228742,12392777,16194581,
NFKBIA	7797	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	1	1	ikappabalpha | 	12437573,
NGF	7808	nerve growth factor (beta polypeptide)	10	5	nerve growth factor | 	10077670,12901835,17105868,17634371,18210200,
NKRF	19374	NFKB repressing factor	1	1	transcription factor nrf | 	17191135,
NOS1	7872	nitric oxide synthase 1 (neuronal)	9	6	neuronal nitric oxide synthase | 	11223912,11978481,12753090,17174478,17496232,17634371,
NOS2A	7873	nitric oxide synthase 2A (inducible, hepatocytes)	29	19	nitric oxide synthase | 	9675268,10930589,11223912,11978481,12663085,12909279,15031734,15208263,15896810,15964487,16043017,16194581,16242643,17099894,17174478,17191135,17368952,17496232,17634371,
NOS3	7876	nitric oxide synthase 3 (endothelial cell)	3	2	endothelial nitric oxide synthase | 	11978481,18422522,
NOX5	14874	NADPH oxidase, EF-hand calcium binding domain 5	50	5	nadph oxidase | 	16227974,16877542,17105868,17956327,18219386,
NPC1	7897	Niemann-Pick disease, type C1	2	2	niemann pick disease | 	18414597,18751914,
NQO1	2874	NAD(P)H dehydrogenase, quinone 1	2	1	nadh dehydrogenase | 	17496232,
NR5A1	7983	nuclear receptor subfamily 5, group A, member 1	1	1	sf 1 | 	17174478,
NTF3	8023	neurotrophin 3	2	2	neurotrophin 3 | ngf 2 | 	17105868,17634371,
NTF4	8024	neurotrophin 4	2	1	nt 4/5 | 	17105868,
NTRK1	8031	neurotrophic tyrosine kinase, receptor, type 1	1	1	tyrosine kinase receptor | 	17634371,
P4HB	8548	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide	1	1	protein disulfide isomerase | 	17678953,
PARK2	8607	Parkinson disease (autosomal recessive, juvenile) 2, parkin	1	1	e3 ubiquitin ligase | 	17678953,
PARP1	270	poly (ADP-ribose) polymerase family, member 1	4	1	poly adp ribose polymerase | poly adp ribose polymerase 1 | 	17174478,
PDHB	8808	pyruvate dehydrogenase (lipoamide) beta	2	1	pyruvate dehydrogenase | 	15812313,
PIK3CA	8975	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3	2	phosphatidylinositol 3 kinase | 	12654515,17105868,
PIK3CG	8978	phosphoinositide-3-kinase, catalytic, gamma polypeptide	1	1	pi3 kinase | 	12654515,
PIN1	8988	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	1	1	prolyl isomerase | 	10077670,
PLCB1	15917	phospholipase C, beta 1 (phosphoinositide-specific)	2	2	phospholipase c | 	10643818,17105868,
PMS2	9122	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1	1	dna mismatch repair | 	17174478,
POR	9208	P450 (cytochrome) oxidoreductase	2	1	nadph dependent cytochrome p450 reductase | 	17174478,
PPARGC1A	9237	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	4	1	pgc 1 | 	17937892,
PPID	9257	peptidylprolyl isomerase D (cyclophilin D)	2	1	cyclophilin d | cyp d | 	16624679,
PPP2R4	9308	protein phosphatase 2A activator, regulatory subunit 4	1	1	protein phosphatase 2a | 	17956327,
PRDX2	9353	peroxiredoxin 2	11	1	peroxiredoxin2 | peroxiredoxin 2 | thioredoxin dependent peroxide reductase 1 | thioredoxin peroxidase 1 | 	14648077,
PRDX3	9354	peroxiredoxin 3	1	1	thioredoxin dependent peroxide reductase | 	14648077,
PRDX4	17169	peroxiredoxin 4	5	3	thioredoxin peroxidase | 	11679167,14648077,17496232,
PRKACA	9380	protein kinase, cAMP-dependent, catalytic, alpha	1	1	protein kinase a catalytic subunit | 	10077670,
PRKAR1A	9388	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	1	1	camp dependent protein kinase | 	10077670,
PRKAR2A	9391	protein kinase, cAMP-dependent, regulatory, type II, alpha	7	2	protein kinase a | 	11679167,17956327,
PRKCA	9393	protein kinase C, alpha	8	5	protein kinase c | 	10643818,12663085,14739060,16194581,17956327,
PRKCSH	9411	protein kinase C substrate 80K-H	1	1	80k h protein | 	12663085,
PRPH	9461	peripherin	1	1	peripherin | 	14739060,
PSEN1	9508	presenilin 1 (Alzheimer disease 3)	5	5	presenilin 1 | 	10643818,10742195,12663085,14739060,16194581,
PSEN2	9509	presenilin 2 (Alzheimer disease 4)	4	3	presenilin 2 | 	10643818,10742195,14739060,
PSPH	9577	phosphoserine phosphatase	2	1	phosphoserine phosphatase | 	11513882,
PTGS2	9605	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	5	2	cox2 | cox 2 | 	12909279,14698606,
PTPN3	9655	protein tyrosine phosphatase, non-receptor type 3	1	1	tyrosine phosphatase | 	10742195,
PVALB	9704	parvalbumin	4	2	parvalbumin | 	10627601,16026864,
PXMP3	9717	peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)	1	1	paf1 | 	16046141,
QDPR	9752	quinoid dihydropteridine reductase	1	1	dihydropteridine reductase | 	15031734,
RNF123	21148	ring finger protein 123	2	2	ubiquitin ligase | 	14739060,17584954,
RPS27A	10417	ribosomal protein S27a	24	10	ubiquitin | 	11679167,12663085,12893007,12909279,14739060,15105254,15896810,16043017,16050975,17191135,
RPS6KB1	10436	ribosomal protein S6 kinase, 70kDa, polypeptide 1	1	1	p70 s6k | 	17496232,
RRM1	10451	ribonucleotide reductase M1	3	2	ribonucleotide reductase | 	15896810,17191135,
SEPX1	14133	selenoprotein X, 1	4	4	methionine sulfoxide reductase | 	11679167,11978481,17191135,18588875,
SLC1A2	10940	solute carrier family 1 (glial high affinity glutamate transporter), member 2	61	6	glt1 | glt 1 | excitatory amino acid transporter 2 | 	9745361,12684448,14690536,14698606,15031734,17719032,
SLC25A6P1	16554	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6, pseudogene 1	4	3	adenine nucleotide translocator | 	11679167,15850589,16624679,
SLC2A3	11007	solute carrier family 2 (facilitated glucose transporter), member 3	2	1	glucose transporter type 3 | 	15031734,
SLC39A3	17128	solute carrier family 39 (zinc transporter), member 3	1	1	zinc transporter | 	15031734,
SLC6A3	11049	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	2	2	dopamine transporter | 	12893007,15031734,
SNCA	11138	synuclein, alpha (non A4 component of amyloid precursor)	24	5	alpha synuclein | 	10742195,11562447,15031734,16227974,17099894,
SOD1	11179	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	165	76	superoxide dismutase | superoxide dismutase 1 | superoxide dismutase1 | 	8588576,8841988,8899665,9007410,9044305,9092140,9462746,9620775,9633809,9745361,10077670,10544701,10593879,10643818,10671549,10742195,10899935,10930589,11050436,11223912,11513882,11679167,11701756,11796206,11905995,12218958,12368231,12437573,12614931,12618129,12654515,12663085,12684448,12718737,12753090,12893007,12901835,12909279,13678536,14572730,14625013,14648077,14698606,15031734,15208263,15266948,15333927,15812313,15850589,15863242,15896810,15964487,16026864,16043017,16046141,16050975,16188953,16194581,16227974,16681429,16877542,17099894,17105868,17150307,17174478,17191135,17192933,17368952,17496232,17584954,17634371,17719032,17956327,17987632,18270519,18308427,
SOD2	11180	superoxide dismutase 2, mitochondrial	21	11	manganese superoxide dismutase | mn sod | mn superoxide dismutase | superoxide dismutase 2 | 	9462746,10671549,11328670,11679167,11978481,12392777,15896810,16227974,17174478,17191135,17496232,
SPHK1	11240	sphingosine kinase 1	1	1	sphingosine kinase 1 | 	18422522,
SYP	11506	synaptophysin	8	2	synaptophysin | 	11562447,14648077,
TAC1	11517	tachykinin, precursor 1	1	1	substance p | 	15863242,
TBXAS1	11609	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	1	1	cytochrome p450 | 	17174478,
TCP1	11655	t-complex 1	1	1	t complex 1 | 	15863242,
TENC1	19737	tensin like C1 domain containing phosphatase (tensin 2)	1	1	putative protein tyrosine phosphatase | 	11679167,
TF	11740	transferrin	5	3	transferrin | 	12909279,15896810,18210200,
TFAP2A	11742	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	1	1	ap 2 | 	17191135,
TFRC	11763	transferrin receptor (p90, CD71)	1	1	transferrin receptor | 	12909279,
TH	11782	tyrosine hydroxylase	3	3	tyrosine hydroxylase | 	11562447,12373523,15031734,
TICAM2	21354	toll-like receptor adaptor molecule 2	1	1	cytoplasmic adaptor | 	17105868,
TIPARP	23696	TCDD-inducible poly(ADP-ribose) polymerase	5	1	parp 1 | 	17174478,
TNF	11892	tumor necrosis factor (TNF superfamily, member 2)	12	7	tumor necrosis factor | tnf alpha | 	12663085,15896810,16043017,16194581,17496232,18414597,18422522,
TPH1	12008	tryptophan hydroxylase 1 (tryptophan 5-monooxygenase)	2	1	tryptophan hydroxylase | 	11562447,
TRPV1	12716	transient receptor potential cation channel, subfamily V, member 1	1	1	vanilloid receptor subtype 1 | 	15964487,
TSPO	1158	translocator protein (18kDa)	1	1	peripheral benzodiazepine receptor | 	16624679,
TTR	12405	transthyretin (prealbumin, amyloidosis type I)	1	1	transthyretin | 	12663085,
TUBA3C	12408	tubulin, alpha 3c	1	1	tubulin alpha 2 | 	15863242,
TUBB	20778	tubulin, beta	1	1	tubulin beta polypeptide | 	15863242,
TXN	12435	thioredoxin	23	4	thioredoxin | 	11679167,12125078,14648077,17191135,
TYR	12442	tyrosinase (oculocutaneous albinism IA)	1	1	tyrosinase | 	10742195,
UBC	12468	ubiquitin C	2	2	ubiquitin c | 	16043017,16227974,
UBE2J1	17598	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	1	1	ubiquitin conjugating enzyme e2 | 	15863242,
UCHL1	12513	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	21	1	uch l1 | 	16043017,
UQCR	30862	ubiquinol-cytochrome c reductase, 6.4kDa subunit	1	1	ubiquinol cytochrome c reductase | 	11050436,
USP11	12609	ubiquitin specific peptidase 11	2	1	ubiquitin carboxyl terminal hydrolase | 	16043017,
VAMP1	12642	vesicle-associated membrane protein 1 (synaptobrevin 1)	1	1	synaptobrevin 1 | 	11562447,
VEGFA	12680	vascular endothelial growth factor A	6	3	vascular endothelial growth factor | vascular permeability factor | 	12654515,14660707,17192933,
WRN	12791	Werner syndrome	7	1	werner syndrome | 	17174478,
XDH	12805	xanthine dehydrogenase	16	8	xanthine oxidase | xanthine dehydrogenase | 	9675268,9745361,11050436,11562447,14739060,15031734,16188953,17956327,
XPA	12814	xeroderma pigmentosum, complementation group A	3	1	xeroderma pigmentosum | 	17174478,
